year,geo_type,geo_id,geo_rank,geography,number,percent,percent_low,percent_high
2013,UHF34,205,3,Sunset Park,42000,48.2,48.2,48.2
2013,UHF34,206,3,Borough Park,126000,55.6,55.6,55.6
2013,UHF34,207,3,East Flatbush - Flatbush,120000,54.5,54.5,54.5
2013,UHF34,208,3,Canarsie - Flatlands,102000,67.9,67.9,67.9
2013,UHF34,209,3,Bensonhurst - Bay Ridge,95000,59.4,59.4,59.4
2013,UHF34,210,3,Coney Island - Sheepshead Bay,141000,61.6,61.6,61.6
2013,UHF34,211,3,Williamsburg - Bushwick,94000,61,61,61
2013,UHF34,301,3,Washington Heights,127000,67.6,67.6,67.6
2013,UHF34,302,3,Central Harlem - Morningside Heights,62000,52.3,52.3,52.3
2013,UHF34,303,3,East Harlem,52000,67.1,67.1,67.1
2013,UHF34,304,3,Upper West Side,75000,44.2,44.2,44.2
2013,UHF34,401,3,Long Island City - Astoria,71000,45.1,45.1,45.1
2013,UHF34,402,3,West Queens,188000,54.8,54.8,54.8
2013,UHF34,403,3,Flushing - Clearview,75000,37.5,37.5,37.5
2013,UHF34,405,3,Ridgewood - Forest Hills,101000,51.6,51.6,51.6
2013,UHF34,407,3,Southwest Queens,133000,66.4,66.4,66.4
2013,UHF34,408,3,Jamaica,130000,60.4,60.4,60.4
2013,UHF34,409,3,Southeast Queens,88000,57.7,57.7,57.7
2013,UHF34,410,3,Rockaways,53000,67.8,67.8,67.8
2013,UHF34,305307,3,Upper East Side-Gramercy,126000,41.3,41.3,41.3
2013,UHF34,306308,3,Chelsea-Village,74000,38.6,38.6,38.6
2013,UHF34,309310,3,Union Square-Lower Manhattan,82000,40.1,40.1,40.1
2013,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,71000,49.6,49.6,49.6
2013,UHF34,501502,3,Northern SI,86000,62.1,62.1,62.1
2013,UHF34,503504,3,Southern SI,138000,65.7,65.7,65.7
2013,UHF34,105106107,3,South Bronx,259000,70,70,70
2013,Borough,1,1,Bronx,683000,68.9,68.9,68.9
2013,Borough,2,1,Brooklyn,1060000,56.1,56.1,56.1
2013,Borough,3,1,Manhattan,617000,47.8,47.8,47.8
2013,Borough,4,1,Queens,941000,53.7,53.7,53.7
2013,Borough,5,1,Staten Island,225000,64.2,64.2,64.2
2013,Citywide,1,0,New York City,3527000,56.2,56.2,56.2
2012,UHF34,101,3,Kingsbridge - Riverdale,34000,50.7,50.7,50.7
2012,UHF34,102,3,Northeast Bronx,97000,69.1,69.1,69.1
2012,UHF34,103,3,Fordham - Bronx Pk,117000,67.3,67.3,67.3
2012,UHF34,104,3,Pelham - Throgs Neck,137000,66.3,66.3,66.3
2012,UHF34,201,3,Greenpoint,56000,55.6,55.6,55.6
2012,UHF34,202,3,Downtown - Heights - Slope,82000,47.1,47.1,47.1
2012,UHF34,203,3,Bedford Stuyvesant - Crown Heights,133000,57.1,57.1,57.1
2012,UHF34,204,3,East New York,93000,71.9,71.9,71.9
2012,UHF34,205,3,Sunset Park,39000,44.3,44.3,44.3
2012,UHF34,206,3,Borough Park,110000,50.1,50.1,50.1
2012,UHF34,207,3,East Flatbush - Flatbush,124000,56,56,56
2012,UHF34,208,3,Canarsie - Flatlands,85000,60.3,60.3,60.3
2012,UHF34,209,3,Bensonhurst - Bay Ridge,81000,52.9,52.9,52.9
2012,UHF34,210,3,Coney Island - Sheepshead Bay,146000,65.8,65.8,65.8
2012,UHF34,211,3,Williamsburg - Bushwick,93000,64.6,64.6,64.6
2012,UHF34,301,3,Washington Heights,106000,54.6,54.6,54.6
2012,UHF34,302,3,Central Harlem - Morningside Heights,73000,67.4,67.4,67.4
2012,UHF34,303,3,East Harlem,45000,63.1,63.1,63.1
2012,UHF34,304,3,Upper West Side,81000,45.4,45.4,45.4
2012,UHF34,401,3,Long Island City - Astoria,105000,63.4,63.4,63.4
2012,UHF34,402,3,West Queens,205000,59.4,59.4,59.4
2012,UHF34,403,3,Flushing - Clearview,96000,47.3,47.3,47.3
2012,UHF34,405,3,Ridgewood - Forest Hills,93000,49.9,49.9,49.9
2012,UHF34,407,3,Southwest Queens,130000,64.9,64.9,64.9
2012,UHF34,408,3,Jamaica,111000,52.5,52.5,52.5
2012,UHF34,409,3,Southeast Queens,96000,62.8,62.8,62.8
2012,UHF34,410,3,Rockaways,51000,67.6,67.6,67.6
2012,UHF34,305307,3,Upper East Side-Gramercy,118000,39.7,39.7,39.7
2012,UHF34,306308,3,Chelsea-Village,68000,33.8,33.8,33.8
2012,UHF34,309310,3,Union Square-Lower Manhattan,84000,41.9,41.9,41.9
2012,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,65000,44.6,44.6,44.6
2012,UHF34,501502,3,Northern SI,91000,66.1,66.1,66.1
2012,UHF34,503504,3,Southern SI,136000,64.3,64.3,64.3
2012,UHF34,105106107,3,South Bronx,227000,63,63,63
2012,Borough,1,1,Bronx,631000,64.5,64.5,64.5
2012,Borough,2,1,Brooklyn,1061000,56.8,56.8,56.8
2012,Borough,3,1,Manhattan,581000,45.4,45.4,45.4
2012,Borough,4,1,Queens,971000,55.9,55.9,55.9
2012,Borough,5,1,Staten Island,227000,64.8,64.8,64.8
2012,Citywide,1,0,New York City,3471000,55.9,55.9,55.9
2011,UHF34,101,3,Kingsbridge - Riverdale,32000,47.3,47.3,47.3
2011,UHF34,102,3,Northeast Bronx,108000,78.7,78.7,78.7
2011,UHF34,103,3,Fordham - Bronx Pk,113000,70.7,70.7,70.7
2011,UHF34,104,3,Pelham - Throgs Neck,138000,66.7,66.7,66.7
2011,UHF34,201,3,Greenpoint,44000,44.7,44.7,44.7
2011,UHF34,202,3,Downtown - Heights - Slope,78000,45.7,45.7,45.7
2011,UHF34,203,3,Bedford Stuyvesant - Crown Heights,169000,73.2,73.2,73.2
2011,UHF34,204,3,East New York,84000,66.9,66.9,66.9
2011,UHF34,205,3,Sunset Park,43000,48.9,48.9,48.9
2011,UHF34,206,3,Borough Park,136000,60,60,60
2011,UHF34,207,3,East Flatbush - Flatbush,166000,74.9,74.9,74.9
2011,UHF34,208,3,Canarsie - Flatlands,94000,65.2,65.2,65.2
2011,UHF34,209,3,Bensonhurst - Bay Ridge,66000,43.3,43.3,43.3
2011,UHF34,210,3,Coney Island - Sheepshead Bay,124000,56.1,56.1,56.1
2011,UHF34,211,3,Williamsburg - Bushwick,98000,65.6,65.6,65.6
2011,UHF34,301,3,Washington Heights,99000,56,56,56
2011,UHF34,302,3,Central Harlem - Morningside Heights,77000,65,65,65
2011,UHF34,303,3,East Harlem,53000,68.2,68.2,68.2
2011,UHF34,304,3,Upper West Side,67000,37.8,37.8,37.8
