station_id,station_name,latitude,longitude,zipcode,uhf34,uhf34_neighborhood,borough
3226,W 82 St & Central Park West,40.78275,-73.97137,10024,304,Upper West Side,Manhattan
3402,Court St & State St,40.6902375,-73.99203074,11231,202,Downtown Heights Slope,Brooklyn
3080,S 4 St & Rodney St,40.70934,-73.95608,11211,201,Greenpoint,Brooklyn
3332,Degraw St & Hoyt St,40.681990442707026,-73.99079024791718,11217,202,Downtown Heights Slope,Brooklyn
3403,4 Ave & 9 St,40.6705135,-73.98876585,11215,202,Downtown Heights Slope,Brooklyn
3284,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,10128,305307,Upper East Side Gramercy,Manhattan
3618,27 St & Hunter St,40.7485,-73.941275,11101,401,Long Island City Astoria,Queens
3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,11217,202,Downtown Heights Slope,Brooklyn
262,Washington Park,40.6917823,-73.9737299,11205,202,Downtown Heights Slope,Brooklyn
3388,President St & Henry St,40.6828003,-73.99990419,11231,202,Downtown Heights Slope,Brooklyn
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,11101,401,Long Island City Astoria,Queens
3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,10026,302,Central Harlem Morningside Heights,Manhattan
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,11205,202,Downtown Heights Slope,Brooklyn
525,W 34 St & 11 Ave,40.75594159,-74.0021163,10199,NA,NA,NA
3344,Pioneer St & Van Brunt St,40.679043,-74.011169,11231,202,Downtown Heights Slope,Brooklyn
3566,Crescent St & 35 Ave,40.7596276,-73.9321455,11106,401,Long Island City Astoria,Queens
3094,Graham Ave & Withers St,40.7169811,-73.94485918,11211,201,Greenpoint,Brooklyn
217,Old Fulton St,40.70277159,-73.99383605,11242,NA,NA,NA
280,E 10 St & 5 Ave,40.73331967,-73.99510132,10009,309310,"Union Square, Lower Manhattan",Manhattan
3573,35 St & 34 Ave,40.7580583,-73.9242751,11106,401,Long Island City Astoria,Queens
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,11233,203,Bedford Stuyvesant Crown Heights,Brooklyn
3282,5 Ave & E 88 St,40.78307,-73.95939,10128,305307,Upper East Side Gramercy,Manhattan
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,11216,203,Bedford Stuyvesant Crown Heights,Brooklyn
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,11221,211,Williamsburg Bushwick,Brooklyn
3560,28 St & 38 Ave,40.754876,-73.934326,11101,401,Long Island City Astoria,Queens
3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,10069,NA,NA,NA
3449,Eckford St & Engert Ave,40.72146256229816,-73.94800901412964,11222,201,Greenpoint,Brooklyn
400,Pitt St & Stanton St,40.71926081,-73.98178024,10009,309310,"Union Square, Lower Manhattan",Manhattan
3462,E 44 St & 2 Ave,40.75118387463277,-73.97138714790344,10017,305307,Upper East Side Gramercy,Manhattan
3518,Lenox Ave & W 126 St,40.808442,-73.9452087,10037,302,Central Harlem Morningside Heights,Manhattan
3305,E 91 St & 2 Ave,40.78112229934166,-73.94965589046478,10128,305307,Upper East Side Gramercy,Manhattan
3528,Steinway St & 23 Ave,40.7713937,-73.9077436,11105,401,Long Island City Astoria,Queens
3043,Lewis Ave & Decatur St,40.6814598,-73.934903,11233,203,Bedford Stuyvesant Crown Heights,Brooklyn
337,Old Slip & Front St,40.7037992,-74.00838676,10005,309310,"Union Square, Lower Manhattan",Manhattan
3309,E 97 St & 3 Ave,40.7859201,-73.94860294,10029,303,East Harlem,Manhattan
3351,E 102 St & 1 Ave,40.7869946,-73.94164802,10029,303,East Harlem,Manhattan
3311,Columbia St & Kane St,40.68763155,-74.0016256,11231,202,Downtown Heights Slope,Brooklyn
3156,E 72 St & York Ave,40.76663814,-73.95348296,10021,305307,Upper East Side Gramercy,Manhattan
3554,Vernon Blvd & 41 Rd,40.7552433,-73.9485678,11101,401,Long Island City Astoria,Queens
309,Murray St & West St,40.7149787,-74.013012,10007,309310,"Union Square, Lower Manhattan",Manhattan
439,E 4 St & 2 Ave,40.7262807,-73.98978041,10009,309310,"Union Square, Lower Manhattan",Manhattan
3312,1 Ave & E 94 St,40.7817212,-73.94594,10128,305307,Upper East Side Gramercy,Manhattan
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,11221,211,Williamsburg Bushwick,Brooklyn
3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,11211,201,Greenpoint,Brooklyn
3619,Newtown Ave & 23 St,40.7713615,-73.9246145,11102,401,Long Island City Astoria,Queens
3689,W 104 St & Amsterdam Ave,40.799041392882984,-73.96649479866028,10025,304,Upper West Side,Manhattan
3232,Bond St & Fulton St,40.68962188790333,-73.98304268717766,11201,202,Downtown Heights Slope,Brooklyn
3517,31 St & Hoyt Ave N,40.7711528,-73.9170074,11102,401,Long Island City Astoria,Queens
3381,3 St & Hoyt St,40.6777287,-73.99364123,11231,202,Downtown Heights Slope,Brooklyn
405,Washington St & Gansevoort St,40.739323,-74.008119,10014,306308,Chelsea Village,Manhattan
3430,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,11222,201,Greenpoint,Brooklyn
3390,E 109 St & 3 Ave,40.79329668,-73.9432083,10029,303,East Harlem,Manhattan
3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,10017,305307,Upper East Side Gramercy,Manhattan
3609,Vernon Blvd & 31 Ave,40.7692475,-73.9354504,11106,401,Long Island City Astoria,Queens
3658,W 18 St & 9 Ave,40.7435337324616,-74.00367558002472,10011,306308,Chelsea Village,Manhattan
3507,Park Ave & E 124 St,40.8045555,-73.9396861,10035,303,East Harlem,Manhattan
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,10022,305307,Upper East Side Gramercy,Manhattan
3298,Warren St & Court St,40.686371,-73.99383324,11201,202,Downtown Heights Slope,Brooklyn
3578,Park Pl & Franklin Ave,40.6741806,-73.9564947,11216,203,Bedford Stuyvesant Crown Heights,Brooklyn
260,Broad St & Bridge St,40.70365182,-74.01167797,10004,309310,"Union Square, Lower Manhattan",Manhattan
3579,Sterling Pl & Bedford Ave,40.672695,-73.954131,11233,203,Bedford Stuyvesant Crown Heights,Brooklyn
3629,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,10039,302,Central Harlem Morningside Heights,Manhattan
3512,27 Ave & 4 St,40.7747175,-73.9337894,11102,401,Long Island City Astoria,Queens
3077,Stagg St & Union Ave,40.70877084,-73.95095259,11211,201,Greenpoint,Brooklyn
3675,3 Ave & E 95 St,40.78459679884891,-73.94968539476395,10128,305307,Upper East Side Gramercy,Manhattan
3327,3 Ave & E 100 St,40.7877214,-73.94728331,10035,303,East Harlem,Manhattan
3399,7 St & 3 Ave,40.67260298150126,-73.98983001708984,11215,202,Downtown Heights Slope,Brooklyn
3375,3 Ave & E 72 St,40.7699426,-73.96060712,10035,303,East Harlem,Manhattan
3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,10021,305307,Upper East Side Gramercy,Manhattan
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,11233,203,Bedford Stuyvesant Crown Heights,Brooklyn
3150,E 85 St & York Ave,40.77536905,-73.94803392,10028,305307,Upper East Side Gramercy,Manhattan
3117,Franklin St & Dupont St,40.73564,-73.95866,11222,201,Greenpoint,Brooklyn
289,Monroe St & Classon Ave,40.6845683,-73.95881081,11221,211,Williamsburg Bushwick,Brooklyn
3306,10 St & 7 Ave,40.6662078,-73.98199886,11215,202,Downtown Heights Slope,Brooklyn
3506,Lexington Ave & E 120 St,40.8013066,-73.9398167,10035,303,East Harlem,Manhattan
3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,11206,211,Williamsburg Bushwick,Brooklyn
3352,Sigourney St & Columbia St,40.67267243410948,-74.0087952464819,11231,202,Downtown Heights Slope,Brooklyn
3249,Verona Pl & Fulton St,40.6803560840434,-73.9476791024208,11216,203,Bedford Stuyvesant Crown Heights,Brooklyn
3617,28 Ave & 35 St,40.7671,-73.9169858,11103,401,Long Island City Astoria,Queens
3680,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766,10017,305307,Upper East Side Gramercy,Manhattan
3328,W 100 St & Manhattan Ave,40.795,-73.9645,10025,304,Upper West Side,Manhattan
3603,31 Ave & 30 St,40.7647,-73.9240312,11369,402,West Queens,Queens
3387,E 106 St & Madison Ave,40.7934337,-73.94945003,10037,302,Central Harlem Morningside Heights,Manhattan
3139,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,10021,305307,Upper East Side Gramercy,Manhattan
143,Clinton St & Joralemon St,40.69239502,-73.99337909,11231,202,Downtown Heights Slope,Brooklyn
3537,Carlton Ave & Dean St,40.6809741,-73.9710097,11238,203,Bedford Stuyvesant Crown Heights,Brooklyn
3408,Congress St & Clinton St,40.6881529,-73.99520919,11201,202,Downtown Heights Slope,Brooklyn
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,11205,202,Downtown Heights Slope,Brooklyn
3556,24 St & 41 Ave,40.7527085,-73.9397405,11101,401,Long Island City Astoria,Queens
3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,11222,201,Greenpoint,Brooklyn
3389,Carroll St & Columbia St,40.6830456,-74.00348559,11231,202,Downtown Heights Slope,Brooklyn
3552,W 113 St & Broadway,40.805973,-73.964928,10025,304,Upper West Side,Manhattan
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,11242,NA,NA,NA
530,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,10018,306308,Chelsea Village,Manhattan
517,Pershing Square South,40.751581,-73.97791,10037,302,Central Harlem Morningside Heights,Manhattan
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,11251,NA,NA,NA
3286,E 89 St & 3 Ave,40.7806284,-73.9521667,10128,305307,Upper East Side Gramercy,Manhattan
3690,Park Pl & Church St,40.71334184275907,-74.00935515761375,10007,309310,"Union Square, Lower Manhattan",Manhattan
3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,11101,401,Long Island City Astoria,Queens
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,11206,211,Williamsburg Bushwick,Brooklyn
3504,E 123 St & Lexington Ave,40.8029263,-73.9379,10035,303,East Harlem,Manhattan
456,E 53 St & Madison Ave,40.7597108,-73.97402311,10055,NA,NA,NA
3545,Broadway & W 122 St,40.8120562,-73.9612547,10115,NA,NA,NA
3384,Smith St & 3 St,40.6787242,-73.99599099,11231,202,Downtown Heights Slope,Brooklyn
335,Washington Pl & Broadway,40.72903917,-73.99404649,10011,306308,Chelsea Village,Manhattan
3593,31 St & Broadway,40.761584,-73.925921,11106,401,Long Island City Astoria,Queens
3613,Center Blvd & 48 Ave,40.745038,-73.957539,11109,NA,NA,NA
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,10038,309310,"Union Square, Lower Manhattan",Manhattan
3221,47 Ave & 31 St,40.743,-73.93561,11101,401,Long Island City Astoria,Queens
3152,3 Ave & E 71 St,40.76873687,-73.96119945,10035,303,East Harlem,Manhattan
3510,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,10027,302,Central Harlem Morningside Heights,Manhattan
3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,11201,202,Downtown Heights Slope,Brooklyn
3583,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,11238,203,Bedford Stuyvesant Crown Heights,Brooklyn
3292,5 Ave & E 93 St,40.7857851,-73.957481,10129,NA,NA,NA
3623,W 120 St & Claremont Ave,40.8109494,-73.9634,10027,302,Central Harlem Morningside Heights,Manhattan
164,E 47 St & 2 Ave,40.75323098,-73.97032517,10017,305307,Upper East Side Gramercy,Manhattan
3602,31 Ave & 34 St,40.763154,-73.920827,11369,402,West Queens,Queens
3303,Butler St & Court St,40.6849894,-73.99440329,11231,202,Downtown Heights Slope,Brooklyn
3568,34 St & 35 Ave,40.7569332,-73.9262231,11106,401,Long Island City Astoria,Queens
3561,37 Ave & 35 St,40.7531106,-73.9279917,11101,401,Long Island City Astoria,Queens
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,11201,202,Downtown Heights Slope,Brooklyn
